Temperature,activation,batch_size,epochs,input_dim,loss,lr,s1,s2,w1,w2,w3,wht,Free_eng_score,eng_score,ent_score,mae_feng
300,leaky_relu,32,300,30,mse,0.01,3,1,9,3.3,100,0.9,0.9774381310755638,0.9917239256021111,0.9866591412576107,301.8984077600086
300,leaky_relu,32,300,30,mse,0.01,3,1,9,3.3,109,0.9,0.9793209457277455,0.9917262577160423,0.9834984733228388,282.20386789206015
300,leaky_relu,32,300,30,mse,0.01,3,1,9,3.3,110,0.9,0.9802686551169041,0.991429694101828,0.9847617307386525,268.013870023328
300,leaky_relu,32,300,30,mse,0.01,3,1,9,3.3,33,0.9,0.9757341843185728,0.9923668357587141,0.9862022279287351,348.7964669196548
300,leaky_relu,32,300,30,mse,0.01,3,1,9,1.0,100,0.9,0.9748032006858588,0.9899539550032886,0.9829896649056932,399.05135372006305
300,leaky_relu,32,300,30,mse,0.01,3,1,9,1.0,109,0.9,0.9724156882504291,0.987845846503414,0.9795207193850547,446.55470675451414
300,leaky_relu,32,300,30,mse,0.01,3,1,9,1.0,110,0.9,0.9771079468428828,0.9897943763107763,0.9799165857040053,358.0702818672715
300,leaky_relu,32,300,30,mse,0.01,3,1,9,1.0,33,0.9,0.9769659868733293,0.9922813357259034,0.9865914660286402,313.22394896151525
300,leaky_relu,32,300,30,mse,0.01,3,1,3,3.3,100,0.9,0.9791609245403181,0.9902327460995475,0.984929070607596,283.7823760558702
300,leaky_relu,32,300,30,mse,0.01,3,1,3,3.3,109,0.9,0.9797659457068434,0.9909046392233913,0.9839874563503284,278.91322885819744
300,leaky_relu,32,300,30,mse,0.01,3,1,3,3.3,110,0.9,0.9804569931112697,0.9908989940338371,0.984615867784226,268.9139515603507
300,leaky_relu,32,300,30,mse,0.01,3,1,3,3.3,33,0.9,0.9743946260788933,0.9921625812276995,0.9845968269877482,363.18988287471035
300,leaky_relu,32,300,30,mse,0.01,3,1,3,1.0,100,0.9,0.9801767459923661,0.98503357118416,0.9732623999495156,280.1854893875031
300,leaky_relu,32,300,30,mse,0.01,3,1,3,1.0,109,0.9,0.978373038555728,0.9862017799699796,0.972023115222669,289.428984547595
300,leaky_relu,32,300,30,mse,0.01,3,1,3,1.0,110,0.9,0.9759218359259908,0.9853162633139914,0.9672409035975558,316.4045168633559
300,leaky_relu,32,300,30,mse,0.01,3,1,3,1.0,33,0.9,0.9786860545395346,0.9916967854936813,0.9848086000711453,290.8797584588088
300,leaky_relu,32,300,30,mse,0.01,3,1,1,3.3,100,0.9,0.9803309998041435,0.9918024210676263,0.9857230315324855,273.82082609167173
300,leaky_relu,32,300,30,mse,0.01,3,1,1,3.3,109,0.9,0.9794441952823373,0.9905716269090614,0.9849800029043858,273.71718441380443
300,leaky_relu,32,300,30,mse,0.01,3,1,1,3.3,110,0.9,0.9791770216377426,0.9910562138691938,0.9838000173267407,280.30266439209504
300,leaky_relu,32,300,30,mse,0.01,3,1,1,3.3,33,0.9,0.9768034064410277,0.989939416336131,0.9825197591092042,335.6384527327914
300,leaky_relu,32,300,30,mse,0.01,3,1,1,1.0,100,0.9,0.9773344761297234,0.9865199319269962,0.971910812473457,329.4619478482451
300,leaky_relu,32,300,30,mse,0.01,3,1,1,1.0,109,0.9,0.9773423880038095,0.9852425472493819,0.9695316980559875,326.65881600314833
300,leaky_relu,32,300,30,mse,0.01,3,1,1,1.0,110,0.9,0.9777118672223051,0.985340210547329,0.9702606795185772,312.2890145557653
300,leaky_relu,32,300,30,mse,0.01,3,1,1,1.0,33,0.9,0.9774018895206822,0.9914577778398899,0.9858151435860423,338.4114808727127
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,3.3,100,0.9,0.9773259726124632,0.9916570683152033,0.9848364809887974,319.5333049988118
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,3.3,109,0.9,0.9789443382449537,0.9914147330015519,0.9839253335601263,294.4579802429317
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,3.3,110,0.9,0.9781020446025552,0.9916353458573136,0.9861171095419318,304.8953335421404
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,3.3,33,0.9,0.9780191770678085,0.9925597183912196,0.9863817546101625,305.92076861699826
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,1.0,100,0.9,0.9790777714478106,0.9892083528768032,0.9775245645214062,290.970155853529
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,1.0,109,0.9,0.9775257370340329,0.987986960226469,0.9746189013478991,322.33979984017157
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,1.0,110,0.9,0.9777824588086405,0.9880223243202353,0.9755478618171913,320.83127436044845
300,leaky_relu,32,300,30,mse,0.0091,3,1,9,1.0,33,0.9,0.9768990899408558,0.9926075154229472,0.9870650332092511,321.84869569582565
300,leaky_relu,32,300,30,mse,0.0091,3,1,3,3.3,100,0.9,0.9773310916360589,0.9918774995166237,0.9848490381831988,309.22090775610764
300,leaky_relu,32,300,30,mse,0.0091,3,1,3,3.3,109,0.9,0.9811614621796108,0.9908747119048071,0.9854522266722396,261.8223304726252
300,leaky_relu,32,300,30,mse,0.0091,3,1,3,3.3,110,0.9,0.9765939178762966,0.9892107412426389,0.9847767964227893,339.85545208002804
300,leaky_relu,32,300,30,mse,0.0091,3,1,3,3.3,33,0.9,0.9774142896680631,0.9912757996948649,0.9853805810463617,317.99274944184486
300,leaky_relu,32,300,30,mse,0.0091,3,1,3,1.0,100,0.9,0.9758984724023488,0.9861921475808504,0.9682652987197582,338.061905869258
