Temperature,activation,batch_size,epochs,input_dim,loss,lr,s,w1,w2,w3,wht,Free_eng_score,eng_score,ent_score,mae_feng
1200,leaky_relu,32,300,20,mse,0.001,4,2,2,1,0.9,0.8445580367845493,0.96561561096321,0.8886999117077654,1870.5631545488789
1200,leaky_relu,32,300,20,mse,0.001,4,2,2,10,0.9,0.8594272155751779,0.9511660414744407,0.891327620005113,1716.3540585790772
1200,leaky_relu,32,300,20,mse,0.001,4,2,2,50,0.9,0.873263491610832,0.7662042960949419,0.8864606346011654,1555.2452964803992
1200,leaky_relu,32,300,20,mse,0.001,4,2,2,100,0.9,0.8523733437985508,0.2552461143947907,0.8552289645609403,1779.3991626030415
1200,leaky_relu,32,300,20,mse,0.001,4,2,3,1,0.9,0.8440675060045255,0.9656158960597921,0.8884480561150792,1873.6127095118522
1200,leaky_relu,32,300,20,mse,0.001,4,2,3,10,0.9,0.8593477977953698,0.9511133609824379,0.8912768425574935,1716.9136132609979
1200,leaky_relu,32,300,20,mse,0.001,4,2,3,50,0.9,0.8729300588183315,0.7701277710893373,0.8866277088466076,1557.6049182281663
1200,leaky_relu,32,300,20,mse,0.001,4,2,3,100,0.9,0.8524014651525619,0.2564151839702209,0.8560270325492987,1777.0058210248849
1200,leaky_relu,32,300,20,mse,0.001,4,2,4,1,0.9,0.8437515997588005,0.9656201814940554,0.8882808870586995,1876.3353508188288
1200,leaky_relu,32,300,20,mse,0.001,4,2,4,10,0.9,0.859208419709786,0.951074013442277,0.8911815533220317,1718.1986141444377
1200,leaky_relu,32,300,20,mse,0.001,4,2,4,50,0.9,0.8728955475501317,0.7737577686149982,0.8870456531455875,1556.3103323946182
1200,leaky_relu,32,300,20,mse,0.001,4,2,4,100,0.9,0.8523788398254191,0.25670085225476824,0.8564743011050218,1775.8351986782936
1200,leaky_relu,32,300,20,mse,0.001,4,3,2,1,0.9,0.8445684039531026,0.965571154783014,0.888724281514716,1870.3884084958856
1200,leaky_relu,32,300,20,mse,0.001,4,3,2,10,0.9,0.8506357628109206,0.9632172622467033,0.8899154028344043,1812.2653160205332
1200,leaky_relu,32,300,20,mse,0.001,4,3,2,50,0.9,0.8712379839519291,0.9022988592128557,0.8912084592771082,1573.0303715440646
1200,leaky_relu,32,300,20,mse,0.001,4,3,2,100,0.9,0.8620180524709352,0.4765730621434613,0.8683245447465857,1680.4787904329623
1200,leaky_relu,32,300,20,mse,0.001,4,3,3,1,0.9,0.8440096218313912,0.9655782575761831,0.8884317168585296,1874.3562685267852
1200,leaky_relu,32,300,20,mse,0.001,4,3,3,10,0.9,0.8485963940874108,0.9632202300542044,0.8886280735648052,1832.7431590207482
1200,leaky_relu,32,300,20,mse,0.001,4,3,3,50,0.9,0.8712080468775408,0.9021677051049188,0.8910596928361346,1571.3613903970959
1200,leaky_relu,32,300,20,mse,0.001,4,3,3,100,0.9,0.8618186651492218,0.4764097240717714,0.8687095023888677,1681.5315575247437
1200,leaky_relu,32,300,20,mse,0.001,4,3,4,1,0.9,0.8436962631967864,0.9655791376009472,0.8882672776049148,1877.0607094316717
1200,leaky_relu,32,300,20,mse,0.001,4,3,4,10,0.9,0.8485002688304291,0.9632326264391884,0.8885767920806413,1833.5127476141472
1200,leaky_relu,32,300,20,mse,0.001,4,3,4,50,0.9,0.8705306382865392,0.9031586881474412,0.8909308850519507,1578.8345939571423
1200,leaky_relu,32,300,20,mse,0.001,4,3,4,100,0.9,0.8614738273197382,0.47491785070240605,0.8689469303350621,1684.4824625127226
1200,leaky_relu,32,300,20,mse,0.001,4,4,2,1,0.9,0.8445158832155756,0.9655771426680975,0.888727349998405,1870.9401088966538
1200,leaky_relu,32,300,20,mse,0.001,4,4,2,10,0.9,0.850713383118409,0.9638487419189828,0.8906869450450372,1813.6280831005906
